location,temperature,pH,acceptablerange,status
sample01,25.5,7.2,5-8,ok
sample02,24.5,2.5,18-25,ok
sample03,23.5,4.8,5,ok
sample04,34.5,7.3,12-15,no
sample05,22.5,6.8,15-25,ok
sample06,22.6,7.6,8-10,ok
sample07,25.6,6.7,11-20,ok
sample08,28.6,6.7,14-18,ok
sample09,29.9,7.5,19-25,ok
sample10,24.6,7.7,22-29,ok
sample11,28.9,7.8,21-25,ok
sample12,25.5,3.6,4-9,ok
sample13,24.5,2.5,7-10,no
sample14,23.5,2.8,2-9,ok
sample15,34.5,8.9,3-9,ok
sample16,22.5,8.5,2-9,ok
sample17,22.6,9.2,5-8,no
sample18,25.6,6.2,18-25,ok
sample19,28.6,5.5,5,ok
sample20,29.9,5.6,12-15,ok
sample21,24.6,5.7,15-25,ok
sample22,28.9,8.3,8-10,ok
sample23,25.5,7.2,11-20,ok
sample24,24.5,2.5,14-18,ok
sample25,23.5,4.8,19-25,ok
sample26,34.5,7.3,22-29,ok
sample27,22.5,6.8,21-25,ok
sample28,22.6,7.6,4-9,ok
sample29,25.6,6.7,7-10,no
sample30,28.6,6.7,2-9,no
sample31,29.9,7.5,3-9,ok
sample32,24.6,7.7,2-9,ok
sample33,28.9,7.8,5-8,ok
sample34,25.5,3.6,18-25,ok
sample35,24.5,2.5,5,ok
sample36,23.5,2.8,12-15,ok
sample37,34.5,8.9,15-25,ok
sample38,22.5,8.5,8-10,no
sample39,22.6,9.2,11-20,ok
sample40,25.6,6.2,14-18,ok
sample41,28.6,5.5,19-25,ok
sample42,29.9,5.6,22-29,ok
sample43,24.6,5.7,21-25,ok
sample44,28.9,8.3,4-9,ok
sample45,25.5,7.2,7-10,ok
sample46,24.5,2.5,2-9,ok
sample47,23.5,4.8,3-9,no
sample48,34.5,7.3,2-9,ok
sample49,22.5,6.8,5-8,ok
sample50,22.6,7.6,18-25,ok
sample51,25.6,6.7,5,no
sample52,28.6,6.7,12-15,ok
sample53,29.9,7.5,15-25,ok
sample54,24.6,7.7,8-10,ok
sample55,28.9,7.8,11-20,no
sample56,25.5,3.6,14-18,ok
sample57,24.5,2.5,19-25,ok
sample58,23.5,2.8,22-29,ok
sample59,34.5,8.9,21-25,ok
sample60,22.5,8.5,4-9,ok
sample61,22.6,9.2,7-10,ok
sample62,25.6,6.2,2-9,ok
sample63,28.6,5.5,3-9,ok
sample64,29.9,5.6,2-9,no
sample65,24.6,5.7,5-8,ok
sample66,28.9,8.3,18-25,ok
sample67,25.5,7.2,5,ok
sample68,24.5,2.5,12-15,no
sample69,23.5,4.8,15-25,ok
sample70,34.5,7.3,8-10,ok
sample71,22.5,6.8,11-20,ok
sample72,22.6,7.6,14-18,no
sample73,25.6,6.7,19-25,ok
sample74,28.6,6.7,22-29,ok
sample75,29.9,7.5,21-25,ok
sample76,24.6,7.7,4-9,ok
sample77,28.9,7.8,7-10,ok
sample78,25.5,3.6,2-9,ok
sample79,24.5,2.5,3-9,ok
sample80,23.5,2.8,2-9,ok
sample81,34.5,8.9,5-8,no
sample82,22.5,8.5,18-25,ok
sample83,22.6,9.2,5,ok
sample84,25.6,6.2,12-15,ok
sample85,28.6,5.5,15-25,no
sample86,29.9,5.6,8-10,ok
